x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200,x201,x202,x203,x204,x205,x206,x207,x208,x209,x210,x211,x212,x213,x214,x215,x216,x217,x218,x219,x220,x221,x222,x223,x224,x225,x226,x227,x228,x229,x230,x231,x232,x233,x234,x235,x236,x237,x238,x239,x240,x241,x242,x243,x244,x245,x246,x247,x248,x249,x250,x251,x252,x253,x254,x255,x256,x257,x258,x259,x260,x261,x262,x263,x264,x265,x266,x267,x268,x269,x270,x271,x272,x273,x274,x275,x276,x277,x278,x279,x280,x281,x282,x283,x284,x285,x286,x287,x288,x289,x290,x291,x292,x293,x294,x295,x296,x297,x298,x299,x300,x301,x302,x303,x304,x305,x306,x307,x308,x309,x310,x311,x312,x313,x314,x315,x316,x317,x318,x319,x320,x321,x322,x323,x324,x325,x326,x327,x328,x329,x330,x331,x332,x333,x334,x335,x336,x337,x338,x339,x340,x341,x342,x343,x344,x345,x346,x347,x348,x349,x350,x351,x352,x353,x354,x355,x356,x357,x358,x359,x360,x361,x362,x363,x364,x365,x366,x367,x368,x369,x370,x371,x372,x373,x374,x375,x376,x377,x378,x379,x380,x381,x382,x383,x384,x385,x386,x387,x388,x389,x390,x391,x392,x393,x394,x395,x396,x397,x398,x399,x400,x401,x402,x403,x404,x405,x406,x407,x408,x409,x410,x411,x412,x413,x414,x415,x416,x417,x418,x419,x420,x421,x422,x423,x424,x425,x426,x427,x428,x429,x430,x431,x432,x433,x434,x435,x436,x437,x438,x439,x440,x441,x442,x443,x444,x445,x446,x447,x448,x449,x450,x451,x452,x453,x454,x455,x456,x457,x458,x459,x460,x461,x462,x463,x464,x465,x466,x467,x468,x469,x470,x471,x472,x473,x474,x475,x476,x477,x478,x479,x480,x481,x482,x483,x484,x485,x486,x487,x488,x489,x490,x491,x492,x493,x494,x495,x496,x497,x498,x499,x500
nor,6,181,3,64,11,2,5,112,6,50,3,55,2,98,13,7,489,11,3,7,489,11,1,46,183,489,11,3,98,2,28,3,28,3,1,109,3,13,6,4,68,22,3,21,415,4,2,415,37,112,6,22,55,2,148,60,306,60,339,2,98,19,6,3,98,2,98,63,152,12,150,48,212,16,3,12,150,48,21,16,2,98,491,50,6,29,112,6,50,3,2,128,13,51,6,2,3,42,11,7,5,3,112,306,479,2,48,6,1,22,6,5,6,2,98,7,183,4,23,4,401,212,3,98,2,98,4,108,377,2,98,42,6,2,51,6,3,15,261,6,3,50,6,1,16,25,22,2,98,7,183,3,98,69,2,28,306,13,368,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nor,415,1,358,22,5,6,119,478,1,3,7,64,3,15,7,304,5,98,98,144,50,6,2,190,312,4,3,22,5,98,98,304,50,3,3,52,5,98,98,5,175,3,4,6,119,22,3,6,340,385,48,6,98,5,6,175,5,6,98,1,2,28,7,22,1,7,22,2,28,50,15,7,112,6,2,98,72,6,119,478,3,107,9,37,4,120,6,2,9,37,4,3,1,9,37,4,120,3,3,98,3,42,13,4,6,50,2,98,13,6,5,102,3,1,3,1,288,3,98,3,4,6,5,6,5,3,13,4,67,48,7,5,6,27,22,3,6,22,2,423,368,6,3,15,102,338,64,4,169,4,2,98,14,182,78,3,182,78,403,3,98,2,52,1,50,22,4,68,50,22,4,1,2,28,60,4,95,43,27,1,86,154,4,51,2,98,15,3,9,21,7,5,3,98,3,6,50,4,2,64,11,4,6,98,98,50,6,7,16,22,3,166,50,2,102,51,1,109,3,190,98,86,14,4,26,192,3,9,152,103,2,10,14,50,8,62,74,2,98,10,14,17,1,50,15,2,98,28,7,22,48,5,11,1,2,98,10,14,186,15,41,15,13,17,1,17,129,2,212,3,41,212,13,6,144,10,14,4,16,212,5,6,50,6,144,3,98,2,6,117,55,52,1,3,15,340,190,98,86,60,3,6,5,6,175,5,2,98,368,11,50,358,3,15,5,6,338,50,6,2,98,72,6,119,478,60,6,1,4,6,3,107,427,67,3,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nor,6,5,1,383,67,6,5,7,15,13,83,22,6,119,478,2,10,401,21,22,6,22,6,3,9,21,22,6,5,8,2,10,19,21,22,8,9,6,166,2,13,7,3,377,2,13,2,10,14,2,3,13,306,2,183,64,50,6,11,7,243,34,3,1,64,457,271,2,31,3,9,299,6,16,127,2,31,3,9,299,6,16,392,2,63,6,338,50,2,28,6,3,1,9,21,299,7,51,34,4,34,3,3,1,2,13,2,13,212,6,3,16,15,50,2,28,212,2,1,3,6,51,3,3,1,29,16,4,4,2,3,16,46,15,3,4,195,6,52,7,104,5,7,16,6,1,5,7,7,2,120,3,13,7,11,6,427,15,13,22,2,63,13,17,2,28,13,7,5,1,2,10,212,6,399,3,339,5,45,3,7,177,2,338,3,33,9,59,4,22,3,1,64,11,6,5,392,2,408,294,4,2,31,18,3,18,3,18,1,18,2,13,8,23,3,193,7,415,11,177,2,5,212,13,4,6,2,157,294,59,123,22,1,5,52,6,5,294,212,6,15,86,37,451,22,6,41,399,13,392,2,15,9,59,150,48,6,5,25,8,11,294,2,53,64,46,2,51,4,383,15,8,100,13,16,7,15,21,6,1,6,2,190,98,18,3,98,339,16,515,386,39,51,177,2,177,193,25,6,4,6,475,22,5,488,11,2,28,52,13,3,1,21,3,2,4,120,87,51,3,16,45,22,45,3,33,50,7,279,9,59,51,6,102,41,15,415,2,3,9,37,7,244,3,1,35,13,3,6,19,26,4,2,245,3,401,6,5,1,5,4,6,98,48,98,2,28,19,451,515,86,57,41,6,5,22,6,52,4,16,2,56,3,13,6,15,6,157,64,22,212,3,1,7,2,245,25,212,3,21,486,2,128,13,50,6,2,63,274,3,6,462,13,22,7,74,17,32,193,6,262,2,14,22,6,1,50,146,3,1,14,15,98,212,475,32,21,98,2,14,6,5,117,5,6,475,339,15,2,1,350,29,14,340,22,85,339,14,2,6,5,14,55,25,1,2,28,13,3,13,2,17,129,368,3,368,6,15,6,4,25,98,98,339,98,6,5,75,98,2,368,6,15,6,50,15,1,350,29,11
nor,28,5,67,140,4,5,6,3,25,4,6,1,5,6,2,22,212,16,6,516,22,6,3,4,108,48,3,6,3,3,1,3,1,6,5,25,2,2,108,48,1,1,2,108,22,6,3,3,1,2,416,4,6,5,3,3,1,3,50,22,98,1,2,98,50,212,3,6,64,516,48,3,3,3,1,3,16,7,316,5,51,504,372,4,22,212,306,516,2,491,5,6,5,13,6,5,6,98,2,98,48,7,212,5,2,64,473,6,5,22,6,2,28,1,4,6,51,112,2,6,5,177,1,474,22,6,34,5,6,1,6,2,13,6,5,7,306,1,17,6,5,3,25,377,22,6,2,28,5,3,13,6,5,6,32,6,3,6,5,2,7,412,4,51,1,2,56,3,3,5,3,46,3,98,1,190,1,6,24,2,98,46,412,4,6,22,6,2,28,5,50,6,51,3,22,6,3,13,55,7,22,6,2,3,212,6,1,5,3,1,16,1,146,2,13,15,6,14,387,6,3,32,48,96,3,5,504,2,5,1,51,69,3,6,3,67,4,6,5,6,2,7,5,3,3,3,1,5,3,1,22,6,1,2,5,6,300,55,22,5,3,6,5,6,5,3,42,22,6,98,98,15,338,5,7,2,5,1,46,5,212,462,3,16,6,1,5,3,1,22,6,5,2,50,6,5,3,3,1,338,55,6,16,22,6,5,1,3,42,415,6,5,212,22,2,64,227,4,265,6,5,22,6,5,6,5,2,338,7,51,2,2,2,4,368,2,2,2,28,48,338,7,5,3,51,4,6,2,28,5,48,4,50,3,50,6,5,69,5,6,311,25,7,4,6,5,212,22,2,3,64,4,6,5,212,3,32,321,3,6,5,91,4,6,6,2,28,22,6,67,55,6,348,5,6,183,2,3,6,5,218,2,67,16,6,5,3,6,5,6,5,3,435,6,5,212,48,7,34,6,5,6,55,6,5,2,338,69,5,177,1,288,3,22,6,5,51,3,321,6,5,6,251,22,2,28,5,6,14,46,4,253,306,51,2,6,5,338,22,6,3,4,6,3,144,25,2,13,368,69,48,6,5,6,429,6,67,32,3,3,22,2,28,14,1,2,28,64,15,6,1,338,22,6,2,6,3,6,5,3
nor,25,13,3,4,451,6,2,11,7,3,1,5,15,34,338,55,6,78,15,473,4,2,266,21,4,507,6,5,3,40,5,457,7,6,1,6,15,55,107,2,15,338,4,6,462,5,1,3,1,4,212,6,42,55,1,1,46,193,5,1,6,3,6,5,1,22,60,62,4,37,212,186,6,5,3,42,17,4,120,2,3,51,3,6,4,26,1,5,6,1,39,51,6,5,6,3,6,3,6,29,5,42,4,51,3,1,32,2,421,401,3,6,15,22,6,5,6,1,338,7,5,4,306,3,7,65,338,4,3,16,73,42,51,193,35,86,32,60,1,22,6,186,50,1,354,68,48,45,4,69,32,405,2,28,3,42,22,3,3,1,3,4,401,73,42,4,55,45,4,5,226,1,2,63,21,6,3,6,6,7,5,16,2,13,4,6,32,22,278,15,4,67,46,287,3,69,5,1,338,7,98,6,98,3,33,41,21,467,5,65,21,338,4,112,6,462,42,77,51,6,2,28,4,67,98,98,55,7,22,4,5,6,462,3,46,32,3,15,86,4,6,193,15,338,4,67,6,2,51,177,1,460,1,48,7,4,6,3,6,3,22,74,2,28,15,1,6,86,287,3,32,140,184,86,4,338,2,3,32,48,6,42,64,299,298,6,3,338,4,6,422,5,6,3,1,22,3,1,6,5,3,33,15,22,2,5,6,5,51,4,6,5,65,1,6,434,5,335,15,338,22,177,2,504,5,467,22,6,55,4,6,3,33,21,7,306,5,11,6,3,69,50,50,32,2,125,4,4,6,306,251,5,3,22,3,41,406,39,5,6,29,42,22,3,21,59,67,1,41,21,338,4,6,2,63,35,12,74,261,4,6,271,3,15,50,6,5,6,331,3,1,4,17,16,73,3,1,3,42,105,22,1,50,6,5,15,2,15,3,1,6,69,42,15,299,3,338,6,5,3,1,12,19,401,212,13,2,5,6,3,6,51,6,21,429,5,7,124,5,338,55,1,17,1,22,338,25,338,50,2,28,4,67,48,28,5,6,3,22,3,7,55,3,2,3,1,6,42,11,6,16,3,1,2,15,1,3,33,17,15,338,4,26,15,4,6,29,42,22,1,17,15,3,3,1,277,37,35,54,2
nor,3,22,3,15,338,2,28,25,1,3,3,11,166,5,1,3,2,4,15,1,22,2,1,3,42,22,3,22,6,2,3,6,15,7,338,98,6,22,8,2,98,1,60,280,41,86,98,4,37,40,6,3,1,3,271,332,4,31,1,7,82,22,2,98,1,284,4,6,119,478,86,2,3,3,338,50,6,16,22,6,6,2,4,6,4,108,50,7,15,1,4,3,2,3,7,2,2,4,3,28,6,1,2,98,338,5,1,6,4,2,338,1,4,451,3,9,129,467,2,98,50,338,22,191,6,120,2,3,3,338,7,258,5,22,16,7,22,2,2,98,338,129,5,278,3,451,2,3,2,7,183,5,22,1,457,377,22,3,98,2,56,3,15,277,2,50,6,2,190,98,5,1,297,33,2,98,2,338,55,3,3,42,15,4,98,212,5,51,8,2,98,5,22,3,15,1,6,2,3,60,7,5,2,28,27,17,50,21,2,98,9,60,48,15,2,5,7,11,380,3,98,2,98,63,15,86,118,3,1,415,144,67,118,11,3,22,7,74,7,5,2,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nor,64,5,4,100,22,6,2,2,50,5,46,5,2,28,108,11,7,2,2,22,2,3,42,338,22,3,16,46,5,1,22,2,7,2,284,3,86,46,1,7,46,51,46,98,7,22,6,5,18,2,98,77,68,16,6,6,1,22,3,2,2,14,2,4,7,1,107,7,4,100,42,77,4,2,6,15,25,7,11,7,25,4,50,119,478,22,2,98,7,4,229,3,98,4,2,98,1,4,120,7,3,515,9,13,3,271,32,6,3,35,22,74,338,4,15,1,3,98,2,28,5,6,261,4,6,55,5,7,349,50,6,5,2,28,3,42,98,5,3,98,5,3,42,338,299,16,7,1,4,22,6,2,28,5,254,1,11,129,271,1,5,1,48,5,4,88,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nor,6,16,50,25,7,98,98,1,7,11,3,25,5,6,2,3,4,6,25,46,11,4,3,1,16,340,4,2,5,6,22,6,2,2,1,14,368,6,13,22,2,98,128,415,34,11,4,22,6,3,33,13,4,401,6,5,212,3,98,25,16,6,5,3,1,109,2,2,15,6,6,2,2,15,6,109,6,2,2,1,109,37,16,429,39,11,1,358,15,2,3,40,6,15,6,154,15,46,74,4,6,5,22,2,98,13,7,5,15,9,415,67,4,22,6,3,98,2,56,46,4,3,6,48,5,6,15,6,2,2,277,3,11,6,34,3,7,229,5,2,28,2,2,277,21,13,340,4,1,2,28,50,6,5,6,6,489,50,46,3,25,4,15,289,64,473,50,50,6,5,2,6,5,50,109,15,37,22,3,25,6,5,6,303,32,109,60,50,7,3,2,15,339,6,64,98,6,98,5,394,3,98,6,5,2,98,98,260,181,303,64,22,7,32,7,473,5,3,98,6,2,98,63,9,15,64,243,64,22,1,2,13,15,35,504,285,60,50,7,32,3,86,277,21,4,25,78,29,25,2,184,8,108,377,54,2,98,457,6,5,64,212,3,456,50,2,28,5,6,90,5,4,2,5,55,1,43,271,3,6,5,15,154,67,22,22,6,5,2,3,15,6,11,7,98,98,14,22,78,5,6,2,5,6,3,5,6,4,60,5,3,22,3,1,2,368,386,32,22,6,49,37,55,3,6,5,7,50,7,2,245,6,3,60,50,3,37,6,2,4,7,16,2,56,405,16,6,5,1,3,11,5,2,2,2,5,3,13,55,6,2,2,3,4,212,2,48,515,21,2,2,4,6,1,51,2,5,3,405,102,3,7,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nor,3,6,5,1,5,6,2,3,3,3,338,22,7,16,100,3,107,48,22,7,4,7,50,6,2,4,67,22,3,338,299,22,7,3,17,51,7,2,98,64,3,98,22,7,48,6,44,339,7,1,48,22,4,6,166,2,190,23,4,5,22,22,4,48,190,28,5,28,2,2,2,112,6,55,6,25,1,261,467,22,140,2,338,22,6,3,3,1,6,2,22,6,3,69,5,3,17,2,491,5,3,3,13,7,5,2,2,2,69,338,338,25,7,55,7,3,1,109,254,2,190,50,2,493,50,6,5,3,64,3,1,6,4,46,50,50,6,5,2,11,6,2,2,2,6,22,338,467,55,118,16,6,2,2,2,5,28,2,2,42,6,48,21,277,37,4,7,102,480,4,6,2,2,6,22,16,3,2,98,7,3,55,2,2,3,107,7,3,98,3,7,5,3,3,6,22,1,107,467,2,7,22,7,243,15,16,6,2,3,1,4,195,2,7,177,2,63,50,13,140,2,28,181,4,6,2,2,13,144,4,67,6,22,3,51,22,2,28,299,7,2,2,50,1,483,2,2,2,467,51,2,2,3,6,2,2,50,1,5,6,11,374,2,56,7,3,6,338,46,98,11,374,324,22,2,98,48,98,22,64,68,25,7,186,4,166,5,98,3,7,50,2,98,72,13,3,415,67,4,253,3,98,6,42,4,50,5,2,28,22,22,2,2,4,118,15,4,3,4,46,55,42,50,5,41,5,6,425,5,6,2,206,11,83,491,2,2,423,338,4,6,2,1,51,22,423,15,4,2,50,324,55,2,2,6,3,3,37,243,15,69,22,3,1,86,67,105,16,22,2,338,15,6,338,98,98,55,2,98,10,212,1,3,33,86,3,98,6,1,73,473,6,2,2,193,5,86,4,2,3,6,119,478,6,474,3,17,3,1,107,368,3,86,5,2,3,6,338,3,2,28,13,22,3,3,46,16,5,2,28,338,55,46,242,16,2,1,334,2,338,15,86,3,60,2,338,7,50,6,16,7,242,2,128,338,7,284,16,32,3,4,5,2,338,15,7,3,69,1,120,68,338,114,25,2,3,51,338,15,2,4,98,46,5,508,3,98,7,2,28,198,5,50,6,3,33,4,169,4,6
nor,309,13,55,7,5,15,22,7,304,2,13,83,309,13,55,46,5,15,15,392,3,32,3,13,46,2,21,13,4,67,55,11,98,98,113,67,22,6,229,55,7,304,2,245,3,21,4,67,6,420,5,1,1,38,2,3,6,5,13,6,5,98,1,304,98,392,2,42,46,14,2,13,3,32,177,2,11,309,1,2,86,14,4,212,5,22,3,1,3,3,6,2,56,6,5,3,86,14,320,1,127,55,2,56,3,193,25,7,5,98,2,98,37,177,86,415,6,74,11,6,5,2,491,5,504,13,6,5,51,1,6,5,98,98,2,5,309,3,3,6,5,3,1,1,4,6,1,3,22,3,2,471,13,309,22,6,166,83,309,13,6,383,1,179,5,6,274,2,128,13,6,5,5,2,3,25,1,3,24,5,254,3,1,363,25,25,3,1,22,392,24,4,6,2,13,6,309,1,83,40,355,467,2,19,60,25,3,16,3,3,177,1,6,5,6,2,416,7,2,28,303,4,212,13,6,2,394,3,50,6,109,3,374,1,4,1,4,177,22,4,60,2,3,15,4,6,5,25,60,62,39,109,22,3,338,6,7,303,5,22,6,2,2,25,22,6,11,6,2,4,83,309,51,7,5,2,3,14,51,1,32,2,4,15,17,40,4,7,5,2,4,60,1,60,186,6,5,2,64,6,5,309,22,6,83,309,467,6,3,22,6,2,338,7,4,6,5,6,408,4,6,3,25,25,6,5,4,6,5,6,38,22,2,16,7,5,50,5,1,6,5,50,392,2,59,16,6,5,309,83,491,5,15,309,13,55,177,1,2,3,212,15,14,55,55,6,1,60,1,22,2,4,212,3,309,59,67,55,504,98,98,5,298,3,177,14,5,3,5,3,1,2,28,109,5,15,504,3,55,3,14,129,4,6,2,15,6,4,6,5,504,2,5,212,5,15,6,11,40,5,309,3,25,6,5,254,1,109,22,2,4,212,3,309,19,67,55,6,2,15,39,46,5,15,13,4,1,14,25,4,2,14,5,83,28,303,13,6,3,46,15,22,298,22,4,2,491,5,73,13,298,7,5,98,32,98,3,6,5,2,14,78,177,2,2,6,1,22,1,181,2,2,15,4,6,2,56,3,4,3
