x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200,x201,x202,x203,x204,x205,x206,x207,x208,x209,x210,x211,x212,x213,x214,x215,x216,x217,x218,x219,x220,x221,x222,x223,x224,x225,x226,x227,x228,x229,x230,x231,x232,x233,x234,x235,x236,x237,x238,x239,x240,x241,x242,x243,x244,x245,x246,x247,x248,x249,x250,x251,x252,x253,x254,x255,x256,x257,x258,x259,x260,x261,x262,x263,x264,x265,x266,x267,x268,x269,x270,x271,x272,x273,x274,x275,x276,x277,x278,x279,x280,x281,x282,x283,x284,x285,x286,x287,x288,x289,x290,x291,x292,x293,x294,x295,x296,x297,x298,x299,x300,x301,x302,x303,x304,x305,x306,x307,x308,x309,x310,x311,x312,x313,x314,x315,x316,x317,x318,x319,x320,x321,x322,x323,x324,x325,x326,x327,x328,x329,x330,x331,x332,x333,x334,x335,x336,x337,x338,x339,x340,x341,x342,x343,x344,x345,x346,x347,x348,x349,x350,x351,x352,x353,x354,x355,x356,x357,x358,x359,x360,x361,x362,x363,x364,x365,x366,x367,x368,x369,x370,x371,x372,x373,x374,x375,x376,x377,x378,x379,x380,x381,x382,x383,x384,x385,x386,x387,x388,x389,x390,x391,x392,x393,x394,x395,x396,x397,x398,x399,x400,x401,x402,x403,x404,x405,x406,x407,x408,x409,x410,x411,x412,x413,x414,x415,x416,x417,x418,x419,x420,x421,x422,x423,x424,x425,x426,x427,x428,x429,x430,x431,x432,x433,x434,x435,x436,x437,x438,x439,x440,x441,x442,x443,x444,x445,x446,x447,x448,x449,x450,x451,x452,x453,x454,x455,x456,x457,x458,x459,x460,x461,x462,x463,x464,x465,x466,x467,x468,x469,x470,x471,x472,x473,x474,x475,x476,x477,x478,x479,x480,x481,x482,x483,x484,x485,x486,x487,x488,x489,x490,x491,x492,x493,x494,x495,x496,x497,x498,x499,x500
nor,6,3,11,2,5,6,49,3,2,13,7,11,3,7,11,1,44,11,3,2,28,3,28,3,1,3,13,6,4,26,3,22,4,2,39,6,26,2,45,45,2,18,6,3,2,12,47,16,3,12,47,22,16,2,49,6,30,6,49,3,2,13,6,2,3,42,11,7,5,3,2,47,6,1,26,6,5,6,2,7,4,24,4,3,2,4,2,42,6,2,6,3,14,6,3,49,6,1,16,23,26,2,7,3,2,28,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nor,1,26,5,6,1,3,7,3,14,7,5,49,6,2,4,3,26,5,49,3,3,5,5,3,4,6,26,3,6,47,6,5,6,5,6,1,2,28,7,26,1,7,26,2,28,49,14,7,6,2,6,3,9,39,4,6,2,9,39,4,3,1,9,39,4,3,3,3,42,13,4,6,49,2,13,6,5,3,1,3,1,3,3,4,6,5,6,5,3,13,4,47,7,5,6,27,26,3,6,26,2,6,3,14,4,4,2,15,3,3,2,1,49,26,4,49,26,4,1,2,28,45,4,40,27,1,4,2,14,3,9,22,7,5,3,3,6,49,4,2,11,4,6,49,6,7,16,26,3,49,2,1,3,15,4,21,3,9,2,10,15,49,8,2,10,15,17,1,49,14,2,28,7,26,47,5,11,1,2,10,15,14,38,14,13,17,1,17,2,3,38,13,6,10,15,4,16,5,6,49,6,3,2,6,1,3,14,45,3,6,5,6,5,2,11,49,3,14,5,6,49,6,2,6,45,6,1,4,6,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nor,6,5,1,6,5,7,14,13,26,6,2,10,22,26,6,26,6,3,9,22,26,6,5,8,2,10,18,22,26,8,9,6,2,13,7,3,2,13,2,10,15,2,3,13,2,49,6,11,7,36,3,1,2,31,3,9,6,16,2,31,3,9,6,16,2,6,49,2,28,6,3,1,9,22,7,36,4,36,3,3,1,2,13,2,13,6,3,16,14,49,2,28,2,1,3,6,3,3,1,30,16,4,4,2,3,16,44,14,3,4,6,7,5,7,16,6,1,5,7,7,2,3,13,7,11,6,14,13,26,2,13,17,2,28,13,7,5,1,2,10,6,3,5,46,3,7,2,3,33,9,4,26,3,1,11,6,5,2,4,2,31,19,3,19,3,19,1,19,2,13,8,24,3,7,11,2,5,13,4,6,2,26,1,5,6,5,6,14,39,26,6,38,13,2,14,9,47,6,5,23,8,11,2,44,2,4,14,8,13,16,7,14,22,6,1,6,2,19,3,16,43,2,23,6,4,6,26,5,11,2,28,13,3,1,22,3,2,4,3,16,46,26,46,3,33,49,7,9,6,38,14,2,3,9,39,7,3,1,34,13,3,6,18,21,4,2,3,6,5,1,5,4,6,47,2,28,18,38,6,5,26,6,4,16,2,3,13,6,14,6,26,3,1,7,2,23,3,22,2,13,49,6,2,3,6,13,26,7,17,29,6,2,15,26,6,1,49,3,1,15,14,29,22,2,15,6,5,5,6,14,2,1,30,15,26,15,2,6,5,15,23,1,2,28,13,3,13,2,17,3,6,14,6,4,23,6,5,2,6,14,6,49,14,1,30,11,30,15,4,3,3,1,2,28,38,7,16,7,2,7,3,30,6,2,30,15,5,3,15,42,14,13,44,2,3,7,7,7,34,9,16,2,9,14,3,15,26,6,11,2,6,1,13,30,42,6,17,3,9,39,4,21,3,33,15,2,7,5,26,26,6,3,3,29,2,48,13,7,14,1,4,23,23,49,4,6,2,13,7,26,8,2,15,26,6,16,45,26,6,2,15,45,2,42,15,49,6,15,4,1,6,4,11,27,27,2,6,26,5,30,3,3,42,15,3,10,18,21,2,48,3,33,22,26,23,2,1,6,5,6
nor,28,5,4,5,6,3,23,4,6,1,5,6,2,26,16,6,26,6,3,4,47,3,6,3,3,1,3,1,6,5,23,2,2,47,1,1,2,26,6,3,3,1,2,4,6,5,3,3,1,3,49,26,1,2,49,3,6,47,3,3,3,1,3,16,7,5,4,26,2,5,6,5,13,6,5,6,2,47,7,5,2,6,5,26,6,2,28,1,4,6,2,6,5,1,26,6,36,5,6,1,6,2,13,6,5,7,1,17,6,5,3,23,26,6,2,28,5,3,13,6,5,6,29,6,3,6,5,2,7,4,1,2,3,3,5,3,44,3,1,1,6,20,2,44,4,6,26,6,2,28,5,49,6,3,26,6,3,13,7,26,6,2,3,6,1,5,3,1,16,1,2,13,14,6,15,6,3,29,47,3,5,2,5,1,3,6,3,4,6,5,6,2,7,5,3,3,3,1,5,3,1,26,6,1,2,5,6,26,5,3,6,5,6,5,3,42,26,6,14,5,7,2,5,1,44,5,3,16,6,1,5,3,1,26,6,5,2,49,6,5,3,3,1,6,16,26,6,5,1,3,42,6,5,26,2,4,6,5,26,6,5,6,5,2,7,2,2,2,4,2,2,2,28,47,7,5,3,4,6,2,28,5,47,4,49,3,49,6,5,5,6,23,7,4,6,5,26,2,3,4,6,5,3,29,3,6,5,4,6,6,2,28,26,6,6,5,6,2,3,6,5,2,16,6,5,3,6,5,6,5,3,6,5,47,7,36,6,5,6,6,5,2,5,1,3,26,6,5,3,6,5,6,26,2,28,5,6,15,44,4,2,6,5,26,6,3,4,6,3,23,2,13,47,6,5,6,6,29,3,3,26,2,28,15,1,2,28,14,6,1,26,6,2,6,3,6,5,3,1,6,4,2,28,5,6,26,6,2,26,6,5,3,7,5,26,6,5,3,3,1,3,16,6,5,2,28,5,16,26,1,3,6,5,3,3,1,2,3,16,6,5,3,4,6,26,6,2,14,6,3,7,5,6,5,1,26,7,3,4,6,26,2,13,23,3,44,49,6,5,2,28,26,26,3,1,2,7,44,2,6,14,5,44,2,26,2,3,6,3,3,4,11,2,6,3,23,23,26,6,5
nor,23,13,3,4,6,2,11,7,3,1,5,14,36,6,14,4,2,22,4,6,5,3,37,5,7,6,1,6,14,2,14,4,6,5,1,3,1,4,6,42,1,1,44,5,1,6,3,6,5,1,26,45,4,39,6,5,3,42,17,4,2,3,3,6,4,21,1,5,6,1,43,6,5,6,3,6,3,6,30,5,42,4,3,1,29,2,3,6,14,26,6,5,6,1,7,5,4,3,7,4,3,16,42,34,29,45,1,26,6,49,1,47,46,4,29,2,28,3,42,26,3,3,1,3,4,42,4,46,4,5,1,2,22,6,3,6,6,7,5,16,2,13,4,6,29,26,14,4,44,3,5,1,7,6,3,33,38,22,5,22,4,6,42,6,2,28,4,7,26,4,5,6,3,44,29,3,14,4,6,14,4,6,2,1,1,47,7,4,6,3,6,3,26,2,28,14,1,6,3,29,4,2,3,29,47,6,42,6,3,4,6,5,6,3,1,26,3,1,6,5,3,33,14,26,2,5,6,5,4,6,5,1,6,5,14,26,2,5,26,6,4,6,3,33,22,7,5,11,6,3,49,49,29,2,4,4,6,5,3,26,3,38,43,5,6,30,42,26,3,22,1,38,22,4,6,2,34,12,4,6,3,14,49,6,5,6,3,1,4,17,16,3,1,3,42,26,1,49,6,5,14,2,14,3,1,6,42,14,3,6,5,3,1,12,18,13,2,5,6,3,6,6,22,5,7,5,1,17,1,26,23,49,2,28,4,47,28,5,6,3,26,3,7,3,2,3,1,6,42,11,6,16,3,1,2,14,1,3,33,17,14,4,21,14,4,6,30,42,26,1,17,14,3,3,1,39,34,2,1,26,6,5,3,2,3,42,9,3,4,6,3,1,7,26,2,28,6,3,6,5,6,2,6,5,6,13,17,14,22,6,26,7,3,33,14,22,6,5,6,42,6,3,33,6,17,4,6,14,7,47,38,45,43,4,3,17,4,29,6,26,2,6,22,23,7,4,26,3,4,39,7,4,6,47,6,36,23,6,3,42,5,26,6,3,11,1,33,3,7,2,28,26,1,3,33,14,34,7,6,14,49,46,23,2,6,4,45,2,14,6,5,3,6,26,6,26,6,47,6,36
nor,3,26,3,14,2,28,23,1,3,3,11,5,1,3,2,4,14,1,26,2,1,3,42,26,3,26,6,2,3,6,14,7,6,26,8,2,1,45,38,4,39,37,6,3,1,3,4,31,1,7,26,2,1,4,6,2,3,3,49,6,16,26,6,6,2,4,6,4,49,7,14,1,4,3,2,3,7,2,2,4,3,28,6,1,2,5,1,6,4,2,1,4,3,9,2,49,26,6,2,3,3,7,5,26,16,7,26,2,2,5,3,2,3,2,7,5,26,1,26,3,2,3,14,2,49,6,2,5,1,33,2,2,3,3,42,14,4,5,8,2,5,26,3,14,1,6,2,3,45,7,5,2,28,27,17,49,22,2,9,45,47,14,2,5,7,11,3,2,14,3,1,11,3,26,7,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nor,5,4,26,6,2,2,49,5,44,5,2,28,11,7,2,2,26,2,3,42,26,3,16,44,5,1,26,2,7,2,3,44,1,7,44,44,7,26,6,5,19,2,16,6,6,1,26,3,2,2,15,2,4,7,1,7,4,42,4,2,6,14,23,7,11,7,23,4,49,26,2,7,4,3,4,2,1,4,7,3,9,13,3,29,6,3,34,26,4,14,1,3,2,28,5,6,4,6,5,7,49,6,5,2,28,3,42,5,3,5,3,42,16,7,1,4,26,6,2,28,5,1,11,1,5,1,47,5,4,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nor,6,16,49,23,7,1,7,11,3,23,5,6,2,3,4,6,23,44,11,4,3,1,16,4,2,5,6,26,6,2,2,1,15,6,13,26,2,36,11,4,26,6,3,33,13,4,6,5,3,23,16,6,5,3,1,2,2,14,6,6,2,2,14,6,6,2,2,1,39,16,43,11,1,14,2,3,37,6,14,6,14,44,4,6,5,26,2,13,7,5,14,9,4,26,6,3,2,44,4,3,6,47,5,6,14,6,2,2,3,11,6,36,3,7,5,2,28,2,2,22,13,4,1,2,28,49,6,5,6,6,49,44,3,23,4,14,49,49,6,5,2,6,5,49,14,39,26,3,23,6,5,6,29,45,49,7,3,2,14,6,6,5,3,6,5,2,26,7,29,7,5,3,6,2,9,14,26,1,2,13,14,34,45,49,7,29,3,22,4,23,30,23,2,8,2,6,5,3,49,2,28,5,6,5,4,2,5,1,40,3,6,5,14,26,26,6,5,2,3,14,6,11,7,15,26,5,6,2,5,6,3,5,6,4,45,5,3,26,3,1,2,29,26,6,39,3,6,5,7,49,7,2,6,3,45,49,3,39,6,2,4,7,16,2,16,6,5,1,3,11,5,2,2,2,5,3,13,6,2,2,3,4,2,47,22,2,2,4,6,1,2,5,3,3,7,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nor,3,6,5,1,5,6,2,3,3,3,26,7,16,3,47,26,7,4,7,49,6,2,4,26,3,26,7,3,17,7,2,3,26,7,47,6,48,7,1,47,26,4,6,2,24,4,5,26,26,4,47,28,5,28,2,2,2,6,6,23,1,26,2,26,6,3,3,1,6,2,26,6,3,5,3,17,2,5,3,3,13,7,5,2,2,2,23,7,7,3,1,2,49,2,49,6,5,3,3,1,6,4,44,49,49,6,5,2,11,6,2,2,2,6,26,16,6,2,2,2,5,28,2,2,42,6,47,22,39,4,7,4,6,2,2,6,26,16,3,2,7,3,2,2,3,7,3,3,7,5,3,3,6,26,1,2,7,26,7,14,16,6,2,3,1,4,2,7,2,49,13,2,28,4,6,2,2,13,4,6,26,3,26,2,28,7,2,2,49,1,2,2,2,2,2,3,6,2,2,49,1,5,6,11,2,7,3,6,44,11,26,2,47,26,23,7,4,5,3,7,49,2,13,3,4,3,6,42,4,49,5,2,28,26,26,2,2,4,14,4,3,4,44,42,49,5,38,5,6,5,6,2,11,2,2,4,6,2,1,26,14,4,2,49,2,2,6,3,3,39,14,26,3,1,16,26,2,14,6,2,10,1,3,33,3,6,1,6,2,2,5,4,2,3,6,6,3,17,3,1,3,5,2,3,6,3,2,28,13,26,3,3,44,16,5,2,28,44,16,2,1,2,14,3,45,2,7,49,6,16,7,2,7,16,29,3,4,5,2,14,7,3,1,23,2,3,14,2,4,44,5,3,7,2,28,5,49,6,3,33,4,4,6,48,11,7,1,11,6,2,3,2,14,2,26,5,6,6,3,4,3,1,1,47,14,3,6,2,6,14,26,3,1,7,6,2,2,5,7,2,3,2,6,3,1,22,4,14,8,16,31,4,1,6,2,3,3,9,14,3,33,13,4,4,16,6,49,2,28,13,7,3,26,7,14,13,4,1,5,2,13,1,16,26,6,2,39,5,5,3,22,3,1,26,7,6,6,26,6,2,6,3,6,4,7,14,5,7,14,26,6,6,26,1,6,6,2,42,6,1,6,4,26,6,2,37,3,26,6,49,2,5,6,48,3,26,1,47,2,7
nor,13,7,5,14,26,7,2,13,13,44,5,14,14,3,29,3,13,44,2,22,13,4,11,26,6,7,2,3,22,4,6,5,1,1,35,2,3,6,5,13,6,5,1,2,42,44,15,2,13,3,29,2,11,1,2,15,4,5,26,3,1,3,3,6,2,6,5,3,15,1,2,3,23,7,5,2,39,6,11,6,5,2,5,13,6,5,1,6,5,2,5,3,3,6,5,3,1,1,4,6,1,3,26,3,2,13,26,6,13,6,1,5,6,2,13,6,5,5,2,3,23,1,3,20,5,3,1,23,23,3,1,26,20,4,6,2,13,6,1,37,2,18,45,23,3,16,3,3,1,6,5,6,2,7,2,28,4,13,6,2,3,49,6,3,1,4,1,4,26,4,45,2,3,14,4,6,5,23,45,43,26,3,6,7,5,26,6,2,2,23,26,6,11,6,2,4,7,5,2,3,15,1,29,2,4,14,17,37,4,7,5,2,4,45,1,45,6,5,2,6,5,26,6,6,3,26,6,2,7,4,6,5,6,4,6,3,23,23,6,5,4,6,5,6,35,26,2,16,7,5,49,5,1,6,5,49,2,16,6,5,5,14,13,1,2,3,14,15,6,1,45,1,26,2,4,3,5,3,15,5,3,5,3,1,2,28,5,14,3,3,15,4,6,2,14,6,4,6,5,2,5,5,14,6,11,37,5,3,23,6,5,1,26,2,4,3,18,6,2,14,43,44,5,14,13,4,1,15,23,4,2,15,5,28,13,6,3,44,14,26,26,4,2,5,13,7,5,29,3,6,5,2,15,2,2,6,1,26,1,2,2,14,4,6,2,3,4,3,6,5,6,49,3,28,5,20,3,3,1,6,20,15,6,2,5,3,6,3,3,3,3,6,5,1,2,6,5,18,3,33,13,44,14,22,2,3,3,3,20,1,1,2,28,2,2,23,5,3,3,1,2,28,13,6,5,26,6,2,28,2,2,6,14,23,3,3,6,3,3,1,6,11,6,5,2,26,1,1,26,5,2,28,1,13,7,5,2,23,3,33,14,43,6,4,6,2,28,16,1,13,7,5,2,15,14,1,5,2,28,26,24,1,47,6,2,2,2,28,3,6,5,3,15,4,39,4,2,15,14,39
