@relation 'rad-nor-weka.filters.unsupervised.attribute.Remove-V-R86,236,250,252,263,283,301,314,317-318,334-335,340,342,350,356,361,366-367,379,411,432,435-436,438,1'

@attribute sent_len_dist_chars80 numeric
@attribute first_pl9 numeric
@attribute third_sg13 numeric
@attribute third_sg15 numeric
@attribute third_pl8 numeric
@attribute char_freq_distc numeric
@attribute char_freq_distu numeric
@attribute char_freq_distH numeric
@attribute char_freq_distK numeric
@attribute char_freq_distL numeric
@attribute punct_freq_dist_puncts1 numeric
@attribute punct_freq_dist_puncts2 numeric
@attribute punct_freq_dist_puncts7 numeric
@attribute punct_freq_dist_puncts9 numeric
@attribute punct_freq_dist_puncts17 numeric
@attribute punct_freq_dist_puncts23 numeric
@attribute punct_freq_dist_puncts28 numeric
@attribute punct_freq_dist_chars1 numeric
@attribute punct_freq_dist_chars2 numeric
@attribute punct_freq_dist_chars14 numeric
@attribute punct_freq_dist_words14 numeric
@attribute lower_needs numeric
@attribute funct_words numeric
@attribute det_n numeric
@attribute comps numeric
@attribute class {nor,rad}

@data
0,0,0.006472,0,0,0.007261,0.00066,0.043564,0.011881,0.033003,0,0.244898,0,0,0,0,0,0,0.007921,0.011881,0.058252,0.000461,29.329609,7.282913,0.560224,nor
0,0,0.004878,0,0,0.001322,0.003306,0.042975,0.00562,0.032066,0,0.27,0.02,0,0,0.06,0,0,0.008926,0.007273,0.035772,0.000692,34.125874,6.993007,0.27972,nor
0.028986,0.003252,0.003252,0.002439,0,0.002225,0.001027,0.050668,0.00736,0.040397,0,0.077922,0.012987,0.006494,0,0,0,0,0.002054,0.011469,0.054472,0.002859,39.017341,8.67052,0.650289,nor
0.021505,0,0,0.000486,0,0.002184,0.000273,0.045864,0.00364,0.044681,0,0.073529,0,0.040441,0.018382,0.003676,0,0,0.00182,0.008827,0.04711,0.001983,36.078936,12.060086,0.729614,nor
0,0.001527,0.002036,0.003053,0,0.002248,0.000963,0.059082,0.004067,0.043348,0,0.060086,0.030043,0.051502,0.025751,0,0,0,0.001498,0.006101,0.029008,0.001706,44.404004,9.517304,0.500911,nor
0,0,0.006787,0,0,0.007914,0.000931,0.053073,0.011173,0.032123,0,0.195122,0.012195,0,0,0,0,0,0.007449,0.014432,0.070136,0.000415,36.068702,5.725191,0.19084,nor
0,0,0,0.002681,0,0.002831,0.002265,0.04077,0.014723,0.040204,0,0.186047,0,0.023256,0,0,0,0,0.00453,0.010759,0.050938,0.000507,32.211538,8.413462,0,nor
0.038462,0.001348,0.005391,0,0,0.001344,0.00242,0.041947,0.00726,0.044905,0,0.168421,0,0,0.010526,0,0,0,0.004302,0.0121,0.060647,0.00166,35.842294,9.080048,0.358423,nor
0,0.001767,0.000589,0,0.000589,0.001369,0.002116,0.043808,0.007716,0.032732,0,0.131274,0,0.003861,0,0,0,0,0.004231,0.013815,0.065371,0.00166,34.951456,8.542199,0.306905,nor
0.011905,0,0.006231,0,0,0.00101,0.000561,0.038712,0.00202,0.045332,0,0.089686,0.004484,0.022422,0.013453,0,0,0,0.002244,0.00965,0.053583,0.002859,32.658643,8.483853,0,nor
