2:178-179 Al-Baqarah:178-179;
2:178 Al-Baqarah:178;
2:179 Al-Baqarah:179;
2:190-191 Al-Baqarah:190-191;
2:190 Al-Baqarah:190;
2:191 Al-Baqarah:191;
2:193-194 Al-Baqarah:193-194;
2:193 Al-Baqarah:193;
2:194 Al-Baqarah:194;
2:216-218 Al-Baqarah:216-218;
2:216 Al-Baqarah:216;
2:217-218 Al-Baqarah:217-218;
2:217 Al-Baqarah:217;
2:218 Al-Baqarah:218;
2:244 Al-Baqarah:244;
3:121-126 Āli‘Imrān:121-126;
3:121 Āli‘Imrān:121;
3:122-125 Āli‘Imrān:122-125;
3:122-124 Āli‘Imrān:122-124;
3:122-123 Āli‘Imrān:122-123;
3:122-126 Āli‘Imrān:122-126;
3:122 Āli‘Imrān:122;
3:123-125 Āli‘Imrān:123-125;
3:123-124 Āli‘Imrān:123-124;
3:123-126 Āli‘Imrān:123-126;
3:123 Āli‘Imrān:123;
3:124-125 Āli‘Imrān:124-125;
3:124-126 Āli‘Imrān:124-126;
3:124 Āli‘Imrān:124;
3:125-126 Āli‘Imrān:125-126;
3:125 Āli‘Imrān:125;
3:126 Āli‘Imrān:126;
3:140-143 Āli‘Imrān:140-143;
3:140 Āli‘Imrān:140;
3:141-142 Āli‘Imrān:141-142;
3:141-143 Āli‘Imrān:141-143;
3:141 Āli‘Imrān:141;
3:142-143 Āli‘Imrān:142-143;
3:142 Āli‘Imrān:142;
3:143 Āli‘Imrān:143;
3:146 Āli‘Imrān:146;
3:152-158 Āli‘Imrān:152-158;
3:152 Āli‘Imrān:152;
3:153-157 Āli‘Imrān:153-157;
3:153-156 Āli‘Imrān:153-156;
3:153-155 Āli‘Imrān:153-155;
3:153-154 Āli‘Imrān:153-154;
3:153-158 Āli‘Imrān:153-158;
3:153 Āli‘Imrān:153;
3:154-157 Āli‘Imrān:154-157;
3:154-156 Āli‘Imrān:154-156;
3:154-155 Āli‘Imrān:154-155;
3:154-158 Āli‘Imrān:154-158;
3:154 Āli‘Imrān:154;
3:155-157 Āli‘Imrān:155-157;
3:155-156 Āli‘Imrān:155-156;
3:155-158 Āli‘Imrān:155-158;
3:155 Āli‘Imrān:155;
3:156-157 Āli‘Imrān:156-157;
3:156-158 Āli‘Imrān:156-158;
3:156 Āli‘Imrān:156;
3:157-158 Āli‘Imrān:157-158;
3:157 Āli‘Imrān:157;
3:158 Āli‘Imrān:158;
3:165-167 Āli‘Imrān:165-167;
3:165 Āli‘Imrān:165;
3:166-167 Āli‘Imrān:166-167;
3:166 Āli‘Imrān:166;
3:167 Āli‘Imrān:167;
3:169 Āli‘Imrān:169;
3:172-173 Āli‘Imrān:172-173;
3:172 Āli‘Imrān:172;
3:173 Āli‘Imrān:173;
3:195 Āli‘Imrān:195;
4:71-72 An-Nisā’:71-72;
4:71 An-Nisā’:71;
4:72 An-Nisā’:72;
4:74-77 An-Nisā’:74-77;
4:74 An-Nisā’:74;
4:75-76 An-Nisā’:75-76;
4:75-77 An-Nisā’:75-77;
4:75 An-Nisā’:75;
4:76-77 An-Nisā’:76-77;
4:76 An-Nisā’:76;
4:77 An-Nisā’:77;
4:84 An-Nisā’:84;
4:89-91 An-Nisā’:89-91;
4:89 An-Nisā’:89;
4:90-91 An-Nisā’:90-91;
4:90 An-Nisā’:90;
4:91 An-Nisā’:91;
4:94-95 An-Nisā’:94-95;
4:94 An-Nisā’:94;
4:95 An-Nisā’:95;
4:100-104 An-Nisā’:100-104;
4:100 An-Nisā’:100;
4:101-103 An-Nisā’:101-103;
4:101-102 An-Nisā’:101-102;
4:101-104 An-Nisā’:101-104;
4:101 An-Nisā’:101;
4:102-103 An-Nisā’:102-103;
4:102-104 An-Nisā’:102-104;
4:102 An-Nisā’:102;
4:103-104 An-Nisā’:103-104;
4:103 An-Nisā’:103;
4:104 An-Nisā’:104;
5:33 Al-Mā’idah:33;
5:35 Al-Mā’idah:35;
5:82 Al-Mā’idah:82;
8:1 Al-Anfāl:1;
8:5 Al-Anfāl:5;
8:7 Al-Anfāl:7;
8:9-10 Al-Anfāl:9-10;
8:9 Al-Anfāl:9;
8:10 Al-Anfāl:10;
8:12 Al-Anfāl:12;
8:15-17 Al-Anfāl:15-17;
8:15 Al-Anfāl:15;
8:16-17 Al-Anfāl:16-17;
8:16 Al-Anfāl:16;
8:17 Al-Anfāl:17;
8:39-48 Al-Anfāl:39-48;
8:39 Al-Anfāl:39;
8:40-47 Al-Anfāl:40-47;
8:40-46 Al-Anfāl:40-46;
8:40-45 Al-Anfāl:40-45;
8:40-44 Al-Anfāl:40-44;
8:40-43 Al-Anfāl:40-43;
8:40-42 Al-Anfāl:40-42;
8:40-41 Al-Anfāl:40-41;
8:40-48 Al-Anfāl:40-48;
8:40 Al-Anfāl:40;
8:41-47 Al-Anfāl:41-47;
8:41-46 Al-Anfāl:41-46;
8:41-45 Al-Anfāl:41-45;
8:41-44 Al-Anfāl:41-44;
8:41-43 Al-Anfāl:41-43;
8:41-42 Al-Anfāl:41-42;
8:41-48 Al-Anfāl:41-48;
8:41 Al-Anfāl:41;
8:42-47 Al-Anfāl:42-47;
8:42-46 Al-Anfāl:42-46;
8:42-45 Al-Anfāl:42-45;
8:42-44 Al-Anfāl:42-44;
8:42-43 Al-Anfāl:42-43;
8:42-48 Al-Anfāl:42-48;
8:42 Al-Anfāl:42;
8:43-47 Al-Anfāl:43-47;
8:43-46 Al-Anfāl:43-46;
8:43-45 Al-Anfāl:43-45;
8:43-44 Al-Anfāl:43-44;
8:43-48 Al-Anfāl:43-48;
8:43 Al-Anfāl:43;
8:44-47 Al-Anfāl:44-47;
8:44-46 Al-Anfāl:44-46;
8:44-45 Al-Anfāl:44-45;
8:44-48 Al-Anfāl:44-48;
8:44 Al-Anfāl:44;
