@relation 'rad-nor-weka.filters.unsupervised.attribute.Remove-V-R248,394,426,362-363,320,343,340,347,427,283,395,250,220,277,464,439,279,386,384,465,368,289,467,278,307,370,434,402,324,418,416,282,448,450,378,410,442,401,433,369,400,315,323,461,235,157,407,432,286,280,86,223,389,463,260,339,1'

@attribute pers_pron29 numeric
@attribute punct_freq_dist_chars1 numeric
@attribute punct_freq_dist_words1 numeric
@attribute punct_freq_dist_puncts1 numeric
@attribute punct_freq_dist_puncts2 numeric
@attribute char_freq_disth numeric
@attribute char_freq_distī numeric
@attribute char_freq_distā numeric
@attribute char_freq_distū numeric
@attribute punct_freq_dist_words2 numeric
@attribute char_freq_dist6 numeric
@attribute punct_freq_dist_chars2 numeric
@attribute pers_pron31 numeric
@attribute pers_pron1 numeric
@attribute char_freq_dist0 numeric
@attribute funct_words numeric
@attribute punct_freq_dist_words14 numeric
@attribute char_freq_dist2 numeric
@attribute punct_freq_dist_puncts25 numeric
@attribute punct_freq_dist_puncts23 numeric
@attribute det_n numeric
@attribute punct_freq_dist_puncts7 numeric
@attribute char_freq_distC numeric
@attribute comps numeric
@attribute char_freq_dist1 numeric
@attribute char_freq_distU numeric
@attribute punct_freq_dist_puncts9 numeric
@attribute punct_freq_dist_words9 numeric
@attribute punct_freq_dist_chars9 numeric
@attribute char_freq_distl numeric
@attribute punct_freq_dist_chars25 numeric
@attribute punct_freq_dist_chars23 numeric
@attribute char_freq_dist5 numeric
@attribute punct_freq_dist_words23 numeric
@attribute punct_freq_dist_words25 numeric
@attribute punct_freq_dist_puncts17 numeric
@attribute punct_freq_dist_chars17 numeric
@attribute punct_freq_dist_words17 numeric
@attribute punct_freq_dist_chars8 numeric
@attribute punct_freq_dist_words8 numeric
@attribute punct_freq_dist_puncts8 numeric
@attribute punct_freq_dist_chars7 numeric
@attribute char_freq_distc numeric
@attribute char_freq_distk numeric
@attribute rad_dict numeric
@attribute pers_pron16 numeric
@attribute av_word_len numeric
@attribute punct_freq_dist_chars14 numeric
@attribute punct_freq_dist_words7 numeric
@attribute char_freq_dist9 numeric
@attribute char_freq_dist3 numeric
@attribute sent_len_dist_chars80 numeric
@attribute pers_pron4 numeric
@attribute punct_freq_dist_puncts28 numeric
@attribute jihadlist numeric
@attribute pers_pron41 numeric
@attribute char_freq_distĀ numeric
@attribute class {nor,rad}

@data
0.006472,0,0,0,0.244898,0.043564,0,0,0,0.038835,0.00132,0.007921,0,0.119741,0.009241,29.329609,0.058252,0.00396,0,0,7.282913,0,0.007261,0.560224,0.00462,0.00066,0,0,0,0.033003,0,0,0.00066,0,0,0,0,0,0,0,0,0,0.024422,0.011881,0.837989,0,4.902913,0.011881,0,0.00132,0.00132,0,0,0,0,0,0,nor
0.004878,0,0,0,0.27,0.042975,0,0,0,0.043902,0.000331,0.008926,0,0.094309,0.001653,34.125874,0.035772,0,0.06,0.06,6.993007,0.02,0.001322,0.27972,0,0.003306,0,0,0,0.032066,0.001983,0.001983,0,0.009756,0.009756,0,0,0,0,0,0,0.000661,0.027769,0.00562,1.118881,0,4.918699,0.007273,0.003252,0,0.000661,0,0,0,0,0,0,nor
0.003252,0,0,0,0.077922,0.050668,0,0,0,0.009756,0.000171,0.002054,0.002439,0.104065,0.000514,39.017341,0.054472,0,0,0,8.67052,0.012987,0.002225,0.650289,0.000342,0.001027,0.006494,0.000813,0.000171,0.040397,0,0,0,0,0,0,0,0,0.000171,0.000813,0.006494,0.000342,0.029442,0.00736,1.011561,0.003252,4.749593,0.011469,0.001626,0.000171,0,0.028986,0.000813,0,0,0,0,nor
0,0,0,0,0.073529,0.045864,0,0,0,0.009713,0.000364,0.00182,0.000486,0.107334,0.001456,36.078936,0.04711,0.000546,0.003676,0.003676,12.060086,0,0.002184,0.729614,0.002002,0.000273,0.040441,0.005342,0.001001,0.044681,0.000091,0.000091,0.000546,0.000486,0.000486,0.018382,0.000455,0.002428,0.001001,0.005342,0.040441,0,0.036218,0.00364,0.600601,0,5.337057,0.008827,0,0.001274,0.000546,0.021505,0,0,0,0,0,nor
0.002036,0,0,0,0.060086,0.059082,0,0,0,0.007125,0.000642,0.001498,0.003053,0.116031,0.000428,44.404004,0.029008,0,0,0,9.517304,0.030043,0.002248,0.500911,0.000214,0.000963,0.051502,0.006107,0.001284,0.043348,0,0,0.000428,0,0,0.025751,0.000642,0.003053,0.001284,0.006107,0.051502,0.000749,0.023012,0.004067,0.409463,0.001527,4.754707,0.006101,0.003562,0,0,0,0,0,0,0,0,nor
0.006787,0,0,0,0.195122,0.053073,0,0,0,0.036199,0.000931,0.007449,0,0.122172,0.000931,36.068702,0.070136,0.001862,0,0,5.725191,0.012195,0.007914,0.19084,0.001862,0.000931,0,0,0,0.032123,0,0,0.000466,0,0,0,0,0,0,0,0,0.000466,0.020019,0.011173,0.572519,0,4.859729,0.014432,0.002262,0.000466,0.000931,0,0,0,0,0,0,nor
0,0,0,0,0.186047,0.04077,0,0,0,0.021448,0,0.00453,0.002681,0.072386,0.001133,32.211538,0.050938,0.001699,0,0,8.413462,0,0.002831,0,0.000566,0.002265,0.023256,0.002681,0.000566,0.040204,0,0,0.000566,0,0,0,0,0,0.000566,0.002681,0.023256,0,0.032276,0.014723,0.961538,0,4.734584,0.010759,0,0.000566,0.001133,0,0,0,0,0,0,nor
0.005391,0,0,0,0.168421,0.041947,0,0,0,0.021563,0,0.004302,0,0.09973,0,35.842294,0.060647,0.000269,0,0,9.080048,0,0.001344,0.358423,0,0.00242,0,0,0,0.044905,0,0,0,0,0,0.010526,0.000269,0.001348,0,0,0,0,0.034418,0.00726,1.194743,0.001348,5.012129,0.0121,0,0,0,0.038462,0,0,0,0,0,nor
0.000589,0,0,0,0.131274,0.043808,0,0,0,0.020024,0,0.004231,0,0.092462,0.001493,34.951456,0.065371,0.000498,0,0,8.542199,0,0.001369,0.306905,0.001245,0.002116,0.003861,0.000589,0.000124,0.032732,0,0,0,0,0,0,0,0,0.000124,0.000589,0.003861,0,0.027256,0.007716,1.48186,0.001767,4.732038,0.013815,0,0.000622,0.000373,0,0,0,0,0.000589,0,nor
0.006231,0,0,0,0.089686,0.038712,0,0,0,0.012461,0.000112,0.002244,0,0.099065,0.000673,32.658643,0.053583,0.000673,0,0,8.483853,0.004484,0.00101,0,0.000673,0.000561,0.022422,0.003115,0.000561,0.045332,0,0,0,0,0,0.013453,0.000337,0.001869,0.000561,0.003115,0.022422,0.000112,0.031755,0.00202,0.71116,0,5.552648,0.00965,0.000623,0.000112,0.000112,0.011905,0,0,0,0,0,nor
0,0,0,0,0.454545,0.048423,0,0,0,0.056818,0,0.011261,0.005682,0.113636,0.002252,32.323232,0.051136,0.004505,0,0,10.10101,0,0.002252,0,0.003378,0,0,0,0,0.03491,0,0,0.002252,0,0,0,0,0,0,0,0,0,0.022523,0.015766,0.505051,0,5.045455,0.010135,0,0,0.001126,0,0,0,0,0,0,nor
0,0,0,0,0.150943,0.046074,0,0,0,0.025157,0,0.005191,0,0.103774,0.003894,35.849057,0.059748,0.001947,0,0,6.756757,0,0.000649,0,0,0.002596,0.018868,0.003145,0.000649,0.037638,0,0,0.000649,0,0,0,0,0,0.000649,0.003145,0.018868,0,0.028553,0.00584,0.269542,0,4.845912,0.01233,0,0,0,0,0,0,0,0,0,nor
0,0,0,0,0.10084,0.043648,0,0,0,0.016151,0,0.003118,0.002692,0.095559,0.002598,34.570766,0.049798,0.001559,0,0,8.826945,0.008403,0.000779,0.348432,0.001559,0.001559,0.058824,0.009421,0.001819,0.038192,0,0,0.00052,0,0,0,0,0,0.001819,0.009421,0.058824,0.00026,0.028059,0.014549,1.62413,0,5.18035,0.009613,0.001346,0,0.000779,0,0,0,0,0,0,nor
0.004706,0,0,0,0.114286,0.043966,0,0,0,0.018824,0,0.003742,0,0.110588,0.009355,32.323232,0.061176,0.002339,0,0,8.704453,0.028571,0,0.404858,0.003274,0.000935,0.014286,0.002353,0.000468,0.042563,0,0,0.003274,0,0,0,0,0,0.000468,0.002353,0.014286,0.000935,0.032741,0.005613,1.818182,0,5.030588,0.012161,0.004706,0,0,0.045455,0,0,0,0,0,nor
0.006085,0,0,0,0.216216,0.042683,0,0,0,0.032454,0,0.006504,0.006085,0.105477,0,38.800705,0.05071,0,0,0,8.289242,0,0.00122,0.176367,0.000813,0.000407,0,0,0,0.039431,0,0,0,0,0,0,0,0,0,0,0,0,0.029268,0.008537,0.705467,0,4.989858,0.010163,0,0,0.000813,0,0,0,0,0,0,nor
0,0,0,0,0.12766,0.033803,0,0,0,0.017493,0,0.00338,0,0.093294,0.000563,36.153846,0.040816,0.000563,0.042553,0.042553,10.25641,0.042553,0.00338,0.25641,0.002817,0.000563,0.021277,0.002915,0.000563,0.041127,0.001127,0.001127,0.000563,0.005831,0.005831,0.085106,0.002254,0.011662,0.000563,0.002915,0.021277,0.001127,0.03831,0.004507,0.25641,0,5.174927,0.007887,0.005831,0.000563,0,0.083333,0,0,0,0,0,nor
0.00404,0,0,0,0.195122,0.045417,0,0,0,0.032323,0.000409,0.006547,0.00202,0.10303,0.002046,32.928943,0.056566,0.001637,0,0,9.705373,0,0.006956,0,0.000409,0.001227,0.04878,0.008081,0.001637,0.036007,0,0,0.001227,0,0,0,0,0,0.001637,0.008081,0.04878,0,0.030687,0.006137,0.519931,0,4.937374,0.011457,0,0,0.000818,0,0,0,0,0,0,nor
0.009585,0,0,0,0.205128,0.055909,0,0,0,0.025559,0.000635,0.005083,0.003195,0.134185,0.001271,35.795455,0.051118,0.002541,0,0,7.954545,0,0.001906,0.284091,0.002541,0,0,0,0,0.040661,0,0,0.000635,0,0,0,0,0,0,0,0,0,0.034307,0.005718,1.136364,0,5.028754,0.010165,0,0.001271,0.000635,0,0,0,0,0,0,nor
0.001704,0,0,0,0.291892,0.047016,0,0,0,0.045997,0.000167,0.009003,0.000852,0.094549,0,35.467255,0.049404,0,0,0,8.830022,0,0.002834,0.294334,0.000333,0,0,0,0,0.037012,0,0,0,0,0,0.010811,0.000333,0.001704,0,0,0,0,0.025842,0.005002,0.441501,0.000852,5.109029,0.00967,0,0.0005,0,0.018868,0,0,0,0,0,nor
0.0033,0,0,0,0.412698,0.040478,0,0,0,0.085809,0,0.017253,0,0.089109,0,31.147541,0.072607,0,0,0,7.945205,0.015873,0.000664,0.273973,0,0.000664,0,0,0,0.030524,0,0,0,0,0,0,0,0,0,0,0,0.000664,0.02787,0.005309,1.092896,0,4.973597,0.014599,0.0033,0,0,0,0,0,0,0,0,nor
0,0.000471,0.002268,0.012658,0.291139,0.046139,0,0,0,0.052154,0,0.010829,0.002268,0.090703,0.002825,36.153846,0.049887,0.001883,0,0,9.230769,0.075949,0.000942,0.192308,0.001883,0,0.012658,0.002268,0.000471,0.033898,0,0,0.001412,0,0,0,0,0,0.000471,0.002268,0.012658,0.002825,0.032486,0.008004,1.538462,0,4.816327,0.010358,0.013605,0,0,0,0,0,0,0,0,nor
0.005828,0,0,0,0.25,0.044096,0,0,0,0.039627,0,0.008329,0.003497,0.090909,0.002205,37.625755,0.050117,0.00098,0,0,7.746479,0,0.001715,0.503018,0.001715,0,0,0,0,0.037237,0,0,0.00049,0,0,0,0,0,0,0,0,0,0.025723,0.003185,0.603622,0.002331,4.757576,0.010534,0,0.000735,0,0,0,0,0,0.001166,0,nor
0.004808,0,0,0,0.028169,0.046425,0,0,0,0.003205,0,0.000678,0.001603,0.102564,0.000339,45.179856,0.048077,0.000678,0,0,8.946609,0,0,0.577201,0,0.000678,0,0,0,0.041681,0,0,0,0,0,0.014085,0.000339,0.001603,0,0,0,0,0.023721,0.009149,0.431655,0,4.729167,0.010166,0,0.000339,0,0,0,0,0,0,0,nor
0.001188,0,0,0,0.031008,0.040714,0,0,0,0.004751,0.000229,0.000915,0.002375,0.092637,0.000229,34.603502,0.068884,0,0.007752,0.007752,9.783728,0.015504,0.003431,0.61792,0,0.000686,0.007752,0.001188,0.000229,0.052608,0.000229,0.000229,0,0.001188,0.001188,0,0,0,0.000229,0.001188,0.007752,0.000457,0.026075,0.00366,0.411946,0,5.192399,0.013266,0.002375,0,0,0.017544,0,0,0,0,0,nor
0.001332,0,0,0,0.190265,0.051506,0,0,0,0.038171,0.000875,0.008358,0.000444,0.113626,0.001555,36.746765,0.055925,0.000875,0,0,8.410522,0.017699,0.001069,1.259726,0.001555,0.000875,0.006637,0.001332,0.000292,0.036346,0,0,0.000777,0,0,0,0,0,0.000292,0.001332,0.006637,0.000777,0.032264,0.007483,1.219963,0.002663,4.567244,0.012245,0.003551,0.001263,0.000292,0.007874,0.001775,0,0,0.001775,0,nor
0.002107,0.000889,0.004215,0.02649,0.198675,0.050033,0,0,0,0.031612,0,0.006671,0.001054,0.111697,0,42,0.041096,0.000667,0,0,9.272727,0,0.000889,1,0,0.000222,0,0,0,0.040027,0,0,0.000222,0,0,0.013245,0.000445,0.002107,0,0,0,0,0.02624,0.008228,0.818182,0,4.738672,0.008672,0,0,0.000222,0,0,0,0,0,0,nor
0,0,0,0,0.285047,0.062685,0,0,0,0.06531,0,0.015054,0.002141,0.127409,0.002221,37.195122,0.067452,0.001728,0.004673,0.004673,6.794425,0.009346,0.000987,0.522648,0.000987,0.000494,0.018692,0.004283,0.000987,0.036772,0.000247,0.000247,0,0.001071,0.001071,0.009346,0.000494,0.002141,0.000987,0.004283,0.018692,0.000494,0.017769,0.006417,0.261324,0,4.33833,0.015548,0.002141,0.000247,0,0,0.002141,0,0,0,0,nor
0.004285,0.000126,0.000643,0.005051,0.090909,0.040559,0,0,0,0.011571,0.000168,0.002267,0.000857,0.087851,0.002519,40.087436,0.038997,0.001092,0.001684,0.001684,8.51711,0.003367,0.001134,0.570342,0.001344,0.000966,0.047138,0.006,0.001176,0.03867,0.000042,0.000042,0.000126,0.000214,0.000214,0.015152,0.000378,0.001928,0.001176,0.006,0.047138,0.000084,0.035479,0.004031,1.653678,0,5.103278,0.007642,0.000429,0.001134,0.00021,0.005525,0,0,0,0,0,nor
0.003107,0,0,0,0,0.05934,0,0,0,0,0.000239,0,0.003107,0.112994,0.000598,46.027328,0.036723,0.00012,0,0,10.172065,0.106796,0.00239,0.404858,0.000359,0,0.004854,0.000565,0.00012,0.035556,0,0,0.00006,0,0,0.012136,0.000299,0.001412,0.00012,0.000565,0.004854,0.002629,0.026593,0.004362,1.290486,0,4.727119,0.007769,0.012429,0.000239,0.000299,0.007299,0,0,0,0,0,nor
0.002012,0.000423,0.002012,0.014286,0.114286,0.033841,0,0,0,0.016097,0,0.003384,0.002012,0.060362,0,41.975309,0.060362,0,0,0,6.17284,0,0.000423,1.058201,0,0,0,0,0,0.045685,0,0,0,0,0,0,0,0,0,0,0,0,0.038071,0.010998,0.529101,0,4.756539,0.01269,0,0,0,0.032258,0,0,0,0,0,nor
0.002262,0,0,0,0.191781,0.058885,0,0,0,0.031674,0,0.007361,0,0.126697,0,42.330097,0.067873,0,0,0,6.601942,0,0.001052,0.776699,0,0.000526,0,0,0,0.036803,0,0,0,0,0,0,0,0,0,0,0,0,0.028917,0.011567,0.582524,0,4.303167,0.015773,0,0,0,0,0,0,0,0,0,nor
